iter	Passed	Remaining
0	145	144947
1	146	73243
2	148	49289
3	150	37574
4	155	30861
5	156	25992
6	159	22582
7	160	19912
8	162	17851
9	163	16145
10	164	14762
11	165	13652
12	167	12694
13	168	11879
14	170	11212
15	172	10636
16	174	10070
17	175	9596
18	178	9237
19	181	8898
20	183	8550
21	185	8231
22	186	7924
23	187	7634
24	189	7379
25	191	7174
26	194	7015
27	196	6810
28	198	6640
29	199	6448
30	201	6285
31	202	6120
32	203	5967
33	205	5842
34	206	5697
35	208	5583
36	209	5455
37	210	5340
38	212	5224
39	216	5190
40	221	5183
41	224	5118
42	225	5028
43	226	4930
44	228	4845
45	229	4762
46	231	4687
47	232	4609
48	233	4532
49	235	4469
50	236	4399
51	237	4333
52	238	4267
53	239	4200
54	240	4134
55	241	4075
56	243	4023
57	244	3972
58	245	3918
59	246	3864
60	248	3818
61	249	3768
62	250	3721
63	251	3682
64	252	3634
65	254	3594
66	254	3550
67	256	3521
68	259	3500
69	260	3463
70	261	3423
71	262	3384
72	263	3348
73	264	3313
74	265	3278
75	266	3244
76	268	3213
77	269	3185
78	270	3155
79	272	3132
80	273	3105
81	274	3077
82	275	3042
83	276	3017
84	277	2992
85	279	2967
86	280	2942
87	281	2915
88	284	2907
89	285	2883
90	286	2864
91	288	2844
92	289	2824
93	290	2804
94	292	2784
95	293	2763
96	295	2746
97	296	2731
98	297	2711
99	299	2692
100	300	2671
101	300	2649
102	302	2630
103	303	2615
104	304	2597
105	306	2584
106	307	2569
107	309	2552
108	310	2535
109	311	2518
110	312	2499
111	313	2482
112	314	2466
113	315	2452
114	316	2437
115	317	2420
116	319	2409
117	321	2399
118	322	2387
119	323	2375
120	325	2361
121	326	2347
122	327	2335
123	328	2322
124	329	2309
125	331	2298
126	332	2286
127	334	2277
128	335	2265
129	336	2253
130	337	2240
131	339	2234
132	341	2224
133	342	2212
134	343	2202
135	345	2192
136	346	2182
137	348	2177
138	349	2164
139	350	2154
140	351	2141
141	352	2128
142	353	2117
143	354	2106
144	355	2097
145	356	2087
146	357	2076
147	359	2067
148	360	2057
149	361	2047
150	362	2036
151	363	2025
152	364	2016
153	365	2007
154	366	1997
155	367	1989
156	368	1979
157	369	1970
158	370	1961
159	372	1953
160	372	1943
161	373	1933
162	374	1923
163	376	1916
164	377	1908
165	378	1903
166	379	1894
167	380	1886
168	381	1877
169	382	1869
170	384	1862
171	385	1854
172	386	1846
173	387	1840
174	388	1832
175	389	1823
176	390	1815
177	391	1806
178	392	1799
179	393	1793
180	395	1787
181	396	1780
182	397	1772
183	398	1766
184	399	1760
185	400	1754
186	402	1748
187	403	1740
188	404	1734
189	405	1727
190	406	1721
191	407	1715
192	408	1708
193	409	1703
194	411	1697
195	412	1691
196	413	1684
197	415	1681
198	416	1676
199	417	1671
200	419	1665
201	420	1660
202	421	1654
203	422	1648
204	424	1648
205	426	1643
206	427	1637
207	428	1631
208	429	1626
209	430	1620
210	432	1615
211	433	1610
212	434	1604
213	435	1599
214	436	1594
215	437	1588
216	438	1582
217	440	1579
218	442	1577
219	443	1572
220	444	1568
221	446	1564
222	447	1559
223	448	1553
224	450	1550
225	451	1545
226	452	1541
227	453	1535
228	454	1530
229	455	1526
230	457	1522
231	458	1518
232	459	1514
233	461	1509
234	462	1505
235	463	1500
236	464	1496
237	465	1491
238	467	1487
239	468	1484
240	469	1478
241	470	1473
242	471	1469
243	473	1465
244	474	1462
245	475	1457
246	476	1453
247	477	1448
248	478	1444
249	479	1439
250	480	1434
251	482	1431
252	483	1428
253	485	1425
254	486	1421
255	487	1417
256	489	1413
257	489	1408
258	490	1404
259	492	1402
260	493	1397
261	495	1395
262	496	1391
263	497	1386
264	498	1382
265	499	1377
